lat,lon,hieight,disturbancePotential,geoidHeight,gravityAnomal,gravityDisturbance
20.1667,119.917,0,207.451,21.1722,-15.006,-8.49836
20.1667,120,0,206.926,21.1185,-20.6537,-14.1625
20.1667,120.083,0,206.805,21.1063,-23.9782,-17.4908
20.1667,120.167,0,207.041,21.1303,-25.4741,-18.9794
20.1667,120.25,0,207.511,21.1783,-26.0798,-19.5703
20.1667,120.333,0,208.066,21.235,-26.9635,-20.4366
20.1667,120.417,0,208.574,21.2867,-29.2483,-22.7055
20.1667,120.5,0,208.969,21.3271,-33.73,-27.1747
20.1667,120.583,0,209.295,21.3604,-40.6458,-34.0803
20.1667,120.667,0,209.715,21.4032,-49.5446,-42.9659
20.1667,120.75,0,210.507,21.484,-59.2907,-52.6872
20.1667,120.833,0,212.027,21.6392,-68.2074,-61.5563
20.1667,120.917,0,214.654,21.9073,-74.3404,-67.6068
20.1667,121,0,218.721,22.3224,-75.7969,-68.9358
20.1667,121.083,0,224.444,22.9065,-71.1003,-64.0596
20.1667,121.167,0,231.867,23.664,-59.4948,-52.2213
20.1667,121.25,0,240.826,24.5784,-41.1438,-33.5893
20.1667,121.333,0,250.949,25.6115,-17.1821,-9.30992
20.1667,121.417,0,261.683,26.707,10.3914,18.6003
20.1667,121.5,0,272.354,27.7961,38.9638,47.5074
20.1667,121.583,0,282.247,28.8058,65.6631,74.5171
20.1667,121.667,0,290.692,29.6677,87.7572,96.8761
20.1667,121.75,0,297.148,30.3265,103.032,112.354
20.1667,121.833,0,301.267,30.7469,110.089,119.539
20.1667,121.917,0,302.934,30.917,108.511,118.014
20.1667,122,0,302.27,30.8493,98.885,108.367
20.1667,122.083,0,299.611,30.5779,82.6722,92.0708
20.1667,122.167,0,295.452,30.1534,61.9606,71.2288
20.1667,122.25,0,290.381,29.6359,39.1473,48.2564
20.1667,122.333,0,285.005,29.0872,16.6012,25.5417
20.1667,122.417,0,279.878,28.5639,-3.63649,5.14313
20.1667,122.5,0,275.448,28.1119,-20.0717,-11.431
20.1667,122.583,0,272.028,27.7628,-31.8701,-23.3367
20.1667,122.667,0,269.779,27.5333,-38.8586,-30.3958
20.1667,122.75,0,268.725,27.4257,-41.4277,-32.998
20.1667,122.833,0,268.78,27.4314,-40.3666,-31.9351
20.1667,122.917,0,269.786,27.534,-36.6666,-28.2035
20.1667,123,0,271.546,27.7136,-31.3325,-22.8142
20.1667,123.083,0,273.865,27.9503,-25.2327,-16.6417
20.1667,123.167,0,276.567,28.226,-19.0082,-10.3324
20.1667,123.25,0,279.512,28.5266,-13.0455,-4.27733
20.1667,123.333,0,282.596,28.8414,-7.5074,1.35752
20.1667,123.417,0,285.747,29.163,-2.40199,6.56176
20.1667,123.5,0,288.909,29.4857,2.33141,11.3944
20.1667,123.583,0,292.036,29.8048,6.74274,15.9038
20.1667,123.667,0,295.079,30.1154,10.8156,20.0721
20.1667,123.75,0,297.985,30.4119,14.4452,23.7928
20.1667,123.833,0,300.695,30.6885,17.4507,26.8834
20.1667,123.917,0,303.155,30.9396,19.6149,29.1247
