# BGI DATA EXTRACTION
# REQUEST : latitude =38.30000000/41.80000000  longitude =-84.90000000/-80.50000000  country=102
# source	lat(deg)	long(deg)	alt(m) 	g(mgal)
31020552 39.60380000 -84.59210000 323.1 980043.01
31020566 41.64360000 -84.59190000 265.8 980228.93
31020015 40.81540000 -84.59160000 245.2 980164.25
31020015 40.75690000 -84.58990000 248.9 980164.74
31020552 39.74380000 -84.58540000 304.2 980037.64
31020566 39.16760000 -84.58440000 260.3 979991.76
31020485 41.20130000 -84.58380000 219.4 980207.90
31020015 40.04190000 -84.58330000 321.0 980068.54
31020015 41.17930000 -84.58330000 221.3 980206.80
31020485 40.20210000 -84.58240000 307.8 980103.66
31020015 40.86960000 -84.58160000 239.6 980164.83
31020015 41.23130000 -84.58160000 217.9 980208.32
31020048 41.08660000 -84.58160000 222.5 980202.20
31020485 40.77910000 -84.58040000 247.4 980162.87
31020015 41.13810000 -84.57990000 220.1 980206.60
31020485 40.63290000 -84.57960000 253.5 980152.37
31020552 39.81190000 -84.57690000 323.7 980041.07
31020566 39.08590000 -84.57660000 163.1 980000.17
31020552 39.68740000 -84.57540000 289.3 980040.65
31020015 41.58630000 -84.57490000 272.5 980227.40
31020015 41.03380000 -84.57330000 222.8 980191.89
31020015 41.07760000 -84.57330000 221.7 980199.17
31020036 41.72330000 -84.57330000 286.2 980225.64
31020485 41.06290000 -84.57290000 222.5 980197.51
31020015 40.54560000 -84.57160000 266.5 980138.64
31020015 40.61160000 -84.57160000 256.3 980149.40
31020015 40.68440000 -84.57160000 246.4 980159.40
31020015 40.91680000 -84.57160000 232.0 980170.22
31020015 40.96040000 -84.57160000 228.8 980178.49
31020015 40.98960000 -84.57160000 225.8 980184.30
31020485 40.48330000 -84.57160000 272.7 980127.19
31020485 40.91710000 -84.57160000 231.3 980170.23
31020552 40.45040000 -84.57160000 278.0 980124.94
31020485 40.35330000 -84.57130000 293.8 980120.39
31020552 40.39240000 -84.57130000 303.0 980117.64
31020552 40.30990000 -84.57080000 317.6 980113.79
31020015 41.58330000 -84.56660000 271.6 980226.77
